date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:57	229413/229413	---M-Z	200	added ('OK')	text/javascript	etag:%2238025-56b4e26047240%22	https://f.vimeocdn.com/js_opt/upgrade_combined.min.js?c180e495	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/js_opt/upgrade_combined.minf5b5.js	(from https://vimeo.com/upgrade)
10:23:58	135375/135375	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:56%20GMT	https://vimeo.com/es/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/es/professionals.html	(from https://vimeo.com/professionals)
10:23:58	135337/135337	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:57%20GMT	https://vimeo.com/de/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/de/professionals.html	(from https://vimeo.com/professionals)
10:23:58	136998/136998	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:57%20GMT	https://vimeo.com/fr/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/fr/professionals.html	(from https://vimeo.com/professionals)
10:23:59	140090/140090	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:57%20GMT	https://vimeo.com/jp/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/jp/professionals.html	(from https://vimeo.com/professionals)
10:23:59	135310/135310	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:58%20GMT	https://vimeo.com/pt-br/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/pt-br/professionals.html	(from https://vimeo.com/professionals)
10:23:59	136615/136615	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:58%20GMT	https://vimeo.com/ko/professionals	C:/My%20Web%20Sites/Demo/vimeo.com/ko/professionals.html	(from https://vimeo.com/professionals)
10:23:59	134760/134760	---M-Z	200	added ('OK')	text/css	etag:%2220e68-566fc0e952380%22	https://f.vimeocdn.com/styles/css_opt/professionals_combined.min.css?5b3580ee	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/professionals_combined.mina459.css	(from https://vimeo.com/professionals)
10:24:00	3973/3973	---M-Z	200	added ('OK')	text/css	etag:%22f85-566fc0e85e140%22	https://f.vimeocdn.com/styles/css_opt/modules/feature_comparison_chart.min.css?dd494a65	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/modules/feature_comparison_chart.min4b53.css	(from https://vimeo.com/professionals)
10:24:00	1880/1880	---M-Z	200	added ('OK')	text/css	etag:%22758-566fc0e85e140%22	https://f.vimeocdn.com/styles/css_opt/modules/feature_comparison_chart_mobile.min.css?714362bc	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/modules/feature_comparison_chart_mobile.minb52c.css	(from https://vimeo.com/professionals)
10:24:01	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:23:59%20GMT	http://vimeo.com/faq	C:/My%20Web%20Sites/Demo/vimeo.com/faq.cf.delayed	(from https://vimeo.com/professionals)
10:24:01	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:00%20GMT	http://vimeo.com/help/faq	C:/My%20Web%20Sites/Demo/vimeo.com/help/faq	(from https://vimeo.com/professionals)
10:24:01	160319/160319	---M--	200	added ('OK')	image/png	etag:%222723f-56018bd8a6ac0%22	https://f.vimeocdn.com/images_v6/professionals/vvs.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/professionals/vvs.png	(from https://vimeo.com/professionals)
10:24:01	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:00%20GMT	https://vimeo.com/startselling	C:/My%20Web%20Sites/Demo/vimeo.com/startselling	(from https://vimeo.com/professionals)
10:24:02	400293/400293	---M--	200	added ('OK')	image/png	etag:%2261ba5-55e952dbc3380%22	https://f.vimeocdn.com/images_v6/professionals/360.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/professionals/360.png	(from https://vimeo.com/professionals)
10:24:02	213267/213267	---M--	200	added ('OK')	image/png	etag:%2234113-56018bd8a6ac0%22	https://f.vimeocdn.com/images_v6/professionals/professionals-live.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/professionals/professionals-live.png	(from https://vimeo.com/professionals)
10:24:03	20714/20714	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:01%20GMT	https://vimeo.com/store/PRO	C:/My%20Web%20Sites/Demo/vimeo.com/store/PRO-2.html	(from https://vimeo.com/professionals)
10:24:03	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:24:02%20GMT	https://vimeo.com/plus?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/plus.d60b6f.delayed	(from https://vimeo.com/professionals)
10:24:03	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:02%20GMT	https://vimeo.com/pro?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/pro0b6f	(from https://vimeo.com/professionals)
10:24:04	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:02%20GMT	https://vimeo.com/vip	C:/My%20Web%20Sites/Demo/vimeo.com/vip	(from https://vimeo.com/professionals)
10:24:04	30479/30479	---M-Z	200	added ('OK')	text/javascript	etag:%22770f-5643dc33eaac0%22	https://f.vimeocdn.com/js_opt/professionals_combined.min.js?843417e8	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/js_opt/professionals_combined.min0f17.js	(from https://vimeo.com/professionals)
10:24:04	133066/133066	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:03%20GMT	https://vimeo.com/es/business	C:/My%20Web%20Sites/Demo/vimeo.com/es/business.html	(from https://vimeo.com/business)
10:24:05	133038/133038	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:03%20GMT	https://vimeo.com/de/business	C:/My%20Web%20Sites/Demo/vimeo.com/de/business.html	(from https://vimeo.com/business)
10:24:05	133194/133194	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:04%20GMT	https://vimeo.com/fr/business	C:/My%20Web%20Sites/Demo/vimeo.com/fr/business.html	(from https://vimeo.com/business)
10:24:05	135775/135775	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:04%20GMT	https://vimeo.com/jp/business	C:/My%20Web%20Sites/Demo/vimeo.com/jp/business.html	(from https://vimeo.com/business)
10:24:06	132835/132835	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:05%20GMT	https://vimeo.com/pt-br/business	C:/My%20Web%20Sites/Demo/vimeo.com/pt-br/business.html	(from https://vimeo.com/business)
10:24:06	134083/134083	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:05%20GMT	https://vimeo.com/ko/business	C:/My%20Web%20Sites/Demo/vimeo.com/ko/business.html	(from https://vimeo.com/business)
10:24:06	43963/43963	---M-Z	200	added ('OK')	text/css	etag:%22abbb-566fc0e85e140%22	https://f.vimeocdn.com/styles/css_opt/business_combined.min.css?107e9070	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/business_combined.minc846.css	(from https://vimeo.com/business)
10:24:07	40343/40343	---M--	200	added ('OK')	image/png	etag:%2284c936b7af9df64987f24cbb90bed700%22	https://d9hhrg4mnvzow.cloudfront.net/join.vimeo.com/business/38e0c2ba-logos-toplevel-2.png	C:/My%20Web%20Sites/Demo/d9hhrg4mnvzow.cloudfront.net/join.vimeo.com/business/38e0c2ba-logos-toplevel-2.png	(from https://vimeo.com/business)
10:24:07	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:24:06%20GMT	https://vimeo.com/cart/pro?vcid=31004	C:/My%20Web%20Sites/Demo/vimeo.com/cart/proa65f	(from https://vimeo.com/business)
10:24:08	20722/20722	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:06%20GMT	https://vimeo.com/store/pro?vcid=31004	C:/My%20Web%20Sites/Demo/vimeo.com/store/proa65f.html	(from https://vimeo.com/business)
10:24:08	174585/174585	---M--	200	added ('OK')	image/png	etag:%222a9f9-5697f308f1600%22	https://f.vimeocdn.com/images_v6/marketing/business_integration_tiles.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/business_integration_tiles.png	(from https://vimeo.com/business)
10:24:08	0/-1	---M--	302	error ('')			https://vimeo.com/plus?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/plus.e50b6f.delayed	(from https://vimeo.com/business)
10:24:08	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:07%20GMT	https://vimeo.com/pro?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/pro0b6f	(from https://vimeo.com/business)
10:24:08	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:07%20GMT	https://vimeo.com/vip	C:/My%20Web%20Sites/Demo/vimeo.com/vip	(from https://vimeo.com/business)
10:24:09	1355014/1355014	---M--	200	added ('OK')	image/png	etag:%2214ad06-55d18f6470100%22	https://f.vimeocdn.com/images_v6/marketing/live/landing_hero_cellist.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/landing_hero_cellist.png	(from https://vimeo.com/live)
10:24:11	1106102/1106102	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:08%20GMT	https://vimeo.com/es/live	C:/My%20Web%20Sites/Demo/vimeo.com/es/live.html	(from https://vimeo.com/live)
10:24:11	1105326/1105326	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:09%20GMT	https://vimeo.com/de/live	C:/My%20Web%20Sites/Demo/vimeo.com/de/live.html	(from https://vimeo.com/live)
10:24:12	1106519/1106519	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:10%20GMT	https://vimeo.com/fr/live	C:/My%20Web%20Sites/Demo/vimeo.com/fr/live.html	(from https://vimeo.com/live)
